Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BTPNAP-26 Kelola Stok,,,2017-12-04 08:16:51,2017-12-04 08:22:17,5m - 25.507s,FAILED
,,,,,,
Test Cases/TC-1,,BTPNAP 26 - Stock - All Search Product,2017-12-04 08:16:51,2017-12-04 08:18:08,1m - 16.252s,PASSED
startApplication,,,2017-12-04 08:16:52,2017-12-04 08:18:05,1m - 12.875s,PASSED
tap,,,2017-12-04 08:18:05,2017-12-04 08:18:06,1.200s,PASSED
tap,,,2017-12-04 08:18:06,2017-12-04 08:18:08,1.427s,PASSED
,,,,,,
Test Cases/TC-2,,,2017-12-04 08:18:08,2017-12-04 08:18:38,30.609s,PASSED
tap,,,2017-12-04 08:18:08,2017-12-04 08:18:10,2.019s,PASSED
delay,,,2017-12-04 08:18:10,2017-12-04 08:18:13,3.029s,PASSED
tap,,,2017-12-04 08:18:13,2017-12-04 08:18:13,0.331s,PASSED
tap,,,2017-12-04 08:18:13,2017-12-04 08:18:14,0.850s,PASSED
delay,,,2017-12-04 08:18:14,2017-12-04 08:18:19,5.004s,PASSED
tap,,,2017-12-04 08:18:19,2017-12-04 08:18:20,0.472s,PASSED
scrollToText,,,2017-12-04 08:18:20,2017-12-04 08:18:32,12.714s,PASSED
tap,,,2017-12-04 08:18:32,2017-12-04 08:18:33,0.308s,PASSED
delay,,,2017-12-04 08:18:33,2017-12-04 08:18:38,5.002s,PASSED
verifyElementAttributeValue,,,2017-12-04 08:18:38,2017-12-04 08:18:38,0.270s,PASSED
tap,,,2017-12-04 08:18:38,2017-12-04 08:18:38,0.294s,PASSED
,,,,,,
Test Cases/TC-3,,,2017-12-04 08:18:38,2017-12-04 08:19:06,27.869s,FAILED
tap,,,2017-12-04 08:18:39,2017-12-04 08:18:40,1.835s,PASSED
tap,,,2017-12-04 08:18:40,2017-12-04 08:18:42,1.578s,PASSED
tap,,,2017-12-04 08:18:42,2017-12-04 08:18:43,0.849s,PASSED
delay,,,2017-12-04 08:18:43,2017-12-04 08:18:43,0.002s,PASSED
tap,,,2017-12-04 08:18:43,2017-12-04 08:18:45,2.153s,PASSED
setText,,,2017-12-04 08:18:45,2017-12-04 08:18:55,9.847s,PASSED
hideKeyboard,,,2017-12-04 08:18:55,2017-12-04 08:19:06,11.484s,FAILED
,,,,,,
Test Cases/TC-4,,,2017-12-04 08:19:06,2017-12-04 08:19:39,33.019s,FAILED
