Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Story 35 - Tambah Barang,,,2018-07-13 16:38:00,2018-07-13 17:05:15,27m - 14.328s,FAILED
,,,,,,
Test Cases/Story 35 and 921 -Tambah Barang/35 TC 1,,Display Tambah Barang Form,2018-07-13 16:38:01,2018-07-13 16:42:42,4m - 40.971s,PASSED
comment,,,2018-07-13 16:38:02,2018-07-13 16:38:02,0.041s,PASSED
comment,,,2018-07-13 16:38:02,2018-07-13 16:38:02,0.004s,PASSED
callTestCase,,,2018-07-13 16:38:02,2018-07-13 16:42:29,4m - 27.118s,PASSED
waitForElementPresent,,,2018-07-13 16:42:29,2018-07-13 16:42:32,3.044s,PASSED
verifyElementAttributeValue,,,2018-07-13 16:42:32,2018-07-13 16:42:37,5.048s,PASSED
tap,,,2018-07-13 16:42:37,2018-07-13 16:42:42,5.486s,PASSED
,,,,,,
Test Cases/Story 35 and 921 -Tambah Barang/35 TC 2,,Increase or decrease product stock,2018-07-13 16:42:42,2018-07-13 16:46:57,4m - 14.278s,PASSED
comment,,,2018-07-13 16:42:42,2018-07-13 16:42:43,0.028s,PASSED
Statement - For (def index : (0..10)),,,2018-07-13 16:42:43,2018-07-13 16:45:21,2m - 38.267s,PASSED
Statement - For (def index : (0..5)),,,2018-07-13 16:45:21,2018-07-13 16:46:57,1m - 35.764s,PASSED
,,,,,,
Test Cases/Story 35 and 921 -Tambah Barang/35 TC 3,,user update stock when specifies stock = -(minus),2018-07-13 16:46:57,2018-07-13 16:48:07,1m - 10.088s,PASSED
comment,,,2018-07-13 16:46:57,2018-07-13 16:46:57,0.001s,PASSED
waitForElementPresent,,,2018-07-13 16:46:57,2018-07-13 16:46:59,2.636s,PASSED
verifyElementAttributeValue,,,2018-07-13 16:46:59,2018-07-13 16:47:05,5.161s,PASSED
clearText,,,2018-07-13 16:47:05,2018-07-13 16:47:16,10.991s,PASSED
setText,,,2018-07-13 16:47:16,2018-07-13 16:47:33,17.493s,PASSED
hideKeyboard,,,2018-07-13 16:47:33,2018-07-13 16:47:34,1.059s,PASSED
verifyElementAttributeValue,,,2018-07-13 16:47:34,2018-07-13 16:47:39,4.575s,PASSED
clearText,,,2018-07-13 16:47:39,2018-07-13 16:47:45,5.931s,PASSED
setText,,,2018-07-13 16:47:45,2018-07-13 16:48:01,16.419s,PASSED
hideKeyboard,,,2018-07-13 16:48:01,2018-07-13 16:48:02,1.290s,PASSED
verifyElementAttributeValue,,,2018-07-13 16:48:02,2018-07-13 16:48:07,4.349s,PASSED
comment,,,2018-07-13 16:48:07,2018-07-13 16:48:07,0.003s,PASSED
,,,,,,
Test Cases/Story 35 and 921 -Tambah Barang/35 TC 4,,Display Pick Category,2018-07-13 16:48:07,2018-07-13 16:48:43,36.339s,PASSED
comment,,,2018-07-13 16:48:07,2018-07-13 16:48:07,0.002s,PASSED
waitForElementPresent,,,2018-07-13 16:48:07,2018-07-13 16:48:10,3.368s,PASSED
verifyElementAttributeValue,,,2018-07-13 16:48:10,2018-07-13 16:48:14,4.087s,PASSED
clearText,,,2018-07-13 16:48:14,2018-07-13 16:48:20,6.115s,PASSED
setText,,,2018-07-13 16:48:20,2018-07-13 16:48:37,16.978s,PASSED
hideKeyboard,,,2018-07-13 16:48:37,2018-07-13 16:48:39,1.232s,PASSED
verifyElementAttributeValue,,,2018-07-13 16:48:39,2018-07-13 16:48:43,4.421s,PASSED
,,,,,,
Test Cases/Story 35 and 921 -Tambah Barang/35 TC 5,,Pick Category,2018-07-13 16:48:43,2018-07-13 16:49:27,44.358s,PASSED
comment,,,2018-07-13 16:48:43,2018-07-13 16:48:43,0.002s,PASSED
waitForElementPresent,,,2018-07-13 16:48:43,2018-07-13 16:48:49,6.258s,PASSED
verifyElementAttributeValue,,,2018-07-13 16:48:49,2018-07-13 16:48:53,4.060s,PASSED
clearText,,,2018-07-13 16:48:53,2018-07-13 16:49:00,6.161s,PASSED
setText,,,2018-07-13 16:49:00,2018-07-13 16:49:22,21.986s,PASSED
hideKeyboard,,,2018-07-13 16:49:22,2018-07-13 16:49:23,1.320s,PASSED
verifyElementAttributeValue,,,2018-07-13 16:49:23,2018-07-13 16:49:27,4.407s,PASSED
,,,,,,
Test Cases/Story 35 and 921 -Tambah Barang/35 TC 6,,Input Harga Jual with - (minus),2018-07-13 16:49:27,2018-07-13 16:50:29,1m - 1.431s,PASSED
comment,,,2018-07-13 16:49:28,2018-07-13 16:49:28,0.001s,PASSED
waitForElementPresent,,,2018-07-13 16:49:28,2018-07-13 16:49:31,3.315s,PASSED
verifyElementAttributeValue,,,2018-07-13 16:49:31,2018-07-13 16:49:35,4.044s,PASSED
tap,,,2018-07-13 16:49:35,2018-07-13 16:49:40,4.871s,PASSED
