Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Story 35,,,2018-03-15 07:33:32,2018-03-15 07:39:58,6m - 25.845s,PASSED
,,,,,,
Test Cases/Story 35 -Tambah Barang/TC 1,,Display Tambah Barang Form,2018-03-15 07:33:32,2018-03-15 07:34:11,38.239s,PASSED
comment,,,2018-03-15 07:33:33,2018-03-15 07:33:33,0.047s,PASSED
"Statement - apkPath = com.kms.katalon.core.util.internal.PathUtil.relativeToAbsolutePath(apkName, com.kms.katalon.core.configuration.RunConfiguration.getProjectDir())",,Step 1 - [Melakukan Kelola Stock],2018-03-15 07:33:33,2018-03-15 07:33:33,0.010s,PASSED
startApplication,,,2018-03-15 07:33:33,2018-03-15 07:33:48,15.347s,PASSED
tap,,"Mengklik \""Daftar Sekarang\"" untuk masuk ke halaman Home/Beranda",2018-03-15 07:33:48,2018-03-15 07:33:55,6.897s,PASSED
verifyElementExist,,,2018-03-15 07:33:55,2018-03-15 07:33:55,0.116s,PASSED
waitForElementPresent,,Menunggu hingga button sebelum Humburger button di klik,2018-03-15 07:33:55,2018-03-15 07:33:59,3.349s,PASSED
tap,,"Mengklik Hamburger Button kemdian memilih Operasional untuk masuk ke halaman Kasir, Stock, Pengeluaran dan Rincian",2018-03-15 07:33:59,2018-03-15 07:34:00,1.327s,PASSED
tap,,"Mengklik \""Operasional\"" untuk bisa direct ke screen Stock",2018-03-15 07:34:00,2018-03-15 07:34:02,2.217s,PASSED
tap,,"Mengklik \""Stok Tabbar\"" untuk bisa ke screen Stock",2018-03-15 07:34:02,2018-03-15 07:34:05,2.290s,PASSED
delay,,,2018-03-15 07:34:05,2018-03-15 07:34:10,5.017s,PASSED
tap,,,2018-03-15 07:34:10,2018-03-15 07:34:10,0.677s,PASSED
verifyElementExist,,,2018-03-15 07:34:10,2018-03-15 07:34:11,0.450s,PASSED
,,,,,,
Test Cases/Story 35 -Tambah Barang/TC 2,,Increase or decrease product stock,2018-03-15 07:34:11,2018-03-15 07:34:36,25.400s,PASSED
Statement - For (def index : (0..10)),,,2018-03-15 07:34:11,2018-03-15 07:34:27,16.349s,PASSED
Statement - For (def index : (0..5)),,,2018-03-15 07:34:27,2018-03-15 07:34:36,8.883s,PASSED
,,,,,,
Test Cases/Story 35 -Tambah Barang/TC 3,,user update stock when specifies stock = -(minus),2018-03-15 07:34:36,2018-03-15 07:35:21,44.645s,PASSED
tap,,,2018-03-15 07:34:36,2018-03-15 07:34:38,1.206s,PASSED
setText,,,2018-03-15 07:34:38,2018-03-15 07:34:56,18.761s,PASSED
clearText,,,2018-03-15 07:34:56,2018-03-15 07:35:01,5.061s,PASSED
setText,,,2018-03-15 07:35:01,2018-03-15 07:35:19,17.860s,PASSED
hideKeyboard,,,2018-03-15 07:35:19,2018-03-15 07:35:20,1.056s,PASSED
swipe,,,2018-03-15 07:35:20,2018-03-15 07:35:21,0.575s,PASSED
,,,,,,
Test Cases/Story 35 -Tambah Barang/TC 4,,Display Pick Category,2018-03-15 07:35:21,2018-03-15 07:35:33,11.687s,PASSED
delay,,,2018-03-15 07:35:21,2018-03-15 07:35:26,5.003s,PASSED
tap,,,2018-03-15 07:35:26,2018-03-15 07:35:27,0.615s,PASSED
tap,,,2018-03-15 07:35:27,2018-03-15 07:35:28,0.937s,PASSED
delay,,,2018-03-15 07:35:28,2018-03-15 07:35:33,5.004s,PASSED
,,,,,,
Test Cases/Story 35 -Tambah Barang/TC 5,,Pick Category,2018-03-15 07:35:33,2018-03-15 07:35:50,17.436s,PASSED
scrollToText,,,2018-03-15 07:35:33,2018-03-15 07:35:39,6.663s,PASSED
tap,,,2018-03-15 07:35:39,2018-03-15 07:35:40,0.640s,PASSED
delay,,,2018-03-15 07:35:40,2018-03-15 07:35:50,10.004s,PASSED
,,,,,,
Test Cases/Story 35 -Tambah Barang/TC 6,,Input Harga Jual with - (minus),2018-03-15 07:35:50,2018-03-15 07:36:05,15.030s,PASSED
comment,,,2018-03-15 07:35:50,2018-03-15 07:35:50,0.001s,PASSED
setText,,,2018-03-15 07:35:50,2018-03-15 07:35:59,8.912s,PASSED
hideKeyboard,,,2018-03-15 07:35:59,2018-03-15 07:36:00,1.001s,PASSED
delay,,,2018-03-15 07:36:00,2018-03-15 07:36:05,5.003s,PASSED
,,,,,,
