Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Story 46,,,2018-03-15 08:12:54,2018-03-15 08:17:34,4m - 39.777s,PASSED
,,,,,,
Test Cases/Story 46 - Change Product/TC 1,,Edit Barang,2018-03-15 08:12:54,2018-03-15 08:13:55,1m - 0.407s,PASSED
comment,,,2018-03-15 08:12:55,2018-03-15 08:12:55,0.050s,PASSED
"Statement - apkPath = com.kms.katalon.core.util.internal.PathUtil.relativeToAbsolutePath(apkName, com.kms.katalon.core.configuration.RunConfiguration.getProjectDir())",,Step 1 - [Melakukan Kelola Stock],2018-03-15 08:12:55,2018-03-15 08:12:55,0.013s,PASSED
startApplication,,,2018-03-15 08:12:55,2018-03-15 08:13:11,15.848s,PASSED
verifyElementExist,,,2018-03-15 08:13:11,2018-03-15 08:13:11,0.002s,NOT_RUN
tap,,"Mengklik \""Daftar Sekarang\"" untuk masuk ke halaman Home/Beranda",2018-03-15 08:13:11,2018-03-15 08:13:17,6.880s,PASSED
waitForElementPresent,,Menunggu hingga button sebelum Humburger button di klik,2018-03-15 08:13:17,2018-03-15 08:13:21,3.704s,PASSED
tap,,"Mengklik Hamburger Button kemdian memilih Operasional untuk masuk ke halaman Kasir, Stock, Pengeluaran dan Rincian",2018-03-15 08:13:21,2018-03-15 08:13:22,0.550s,PASSED
tap,,"Mengklik \""Operasional\"" untuk bisa direct ke screen Stock",2018-03-15 08:13:22,2018-03-15 08:13:24,1.852s,PASSED
tap,,"Mengklik \""Stok Tabbar\"" untuk bisa ke screen Stock",2018-03-15 08:13:24,2018-03-15 08:13:27,2.996s,PASSED
waitForElementPresent,,,2018-03-15 08:13:27,2018-03-15 08:13:30,2.993s,PASSED
comment,,,2018-03-15 08:13:30,2018-03-15 08:13:30,0.002s,PASSED
tap,,Mengklik SearchButton untuk mencari Produk,2018-03-15 08:13:30,2018-03-15 08:13:30,0.643s,PASSED
setText,,"Melakukan Input Text lebih dari satu kata dalam search produk pada kategori \""Makanan\""",2018-03-15 08:13:30,2018-03-15 08:13:41,11.106s,PASSED
