Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Story 679,,,2018-05-17 15:06:56,2018-05-17 15:08:35,1m - 39.370s,FAILED
,,,,,,
Test Cases/Story 679 - Welcome Screen/679 TC - Welcome Screen,,,2018-05-17 15:06:59,2018-05-17 15:08:35,1m - 36.591s,FAILED
comment,,,2018-05-17 15:06:59,2018-05-17 15:06:59,0.034s,PASSED
Statement - apkPath = apkName,,,2018-05-17 15:06:59,2018-05-17 15:06:59,0.006s,PASSED
startApplication,,,2018-05-17 15:06:59,2018-05-17 15:08:35,1m - 36.208s,FAILED
