Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Story 41,,,2018-03-15 11:50:42,2018-03-15 11:53:26,2m - 44.065s,FAILED
,,,,,,
Test Cases/Story 41 - Create Expense/TC 1,,Create Expense - View,2018-03-15 11:50:42,2018-03-15 11:51:25,43.138s,PASSED
comment,,,2018-03-15 11:50:43,2018-03-15 11:50:43,0.056s,PASSED
"Statement - apkPath = com.kms.katalon.core.util.internal.PathUtil.relativeToAbsolutePath(apkName, com.kms.katalon.core.configuration.RunConfiguration.getProjectDir())",,Step 1 - [Melakukan Kelola Stock],2018-03-15 11:50:43,2018-03-15 11:50:43,0.014s,PASSED
startApplication,,,2018-03-15 11:50:43,2018-03-15 11:50:58,14.723s,PASSED
tap,,"Mengklik \""Daftar Sekarang\"" untuk masuk ke halaman Home/Beranda",2018-03-15 11:50:58,2018-03-15 11:51:04,6.848s,PASSED
waitForElementPresent,,Menunggu hingga button sebelum Humburger button di klik,2018-03-15 11:51:04,2018-03-15 11:51:08,3.748s,PASSED
tap,,"Mengklik Hamburger Button kemdian memilih Operasional untuk masuk ke halaman Kasir, Stock, Pengeluaran dan Rincian",2018-03-15 11:51:08,2018-03-15 11:51:10,1.474s,PASSED
tap,,"Mengklik \""Operasional\"" untuk bisa direct ke screen Stock",2018-03-15 11:51:10,2018-03-15 11:51:11,1.743s,PASSED
tap,,Click Navbar 'Pengeluaran',2018-03-15 11:51:11,2018-03-15 11:51:14,2.849s,PASSED
delay,,,2018-03-15 11:51:14,2018-03-15 11:51:19,5.047s,PASSED
waitForElementPresent,,"Menungg//////////////////////u hingga elemen Pengeluaran barang untuk melanjutkan action element \""Tambah Catatan\""",2018-03-15 11:51:19,2018-03-15 11:51:20,0.257s,PASSED
tap,,"Mengklik Button \""Tambah Catatan\""",2018-03-15 11:51:20,2018-03-15 11:51:20,0.804s,PASSED
delay,,,2018-03-15 11:51:20,2018-03-15 11:51:25,5.016s,PASSED
,,,,,,
Test Cases/Story 41 - Create Expense/TC 2,,Create Expense - Title,2018-03-15 11:51:25,2018-03-15 11:51:48,22.529s,PASSED
tap,,,2018-03-15 11:51:26,2018-03-15 11:51:26,0.360s,PASSED
setText,,Mengklik TextBox Judul MengInput Text pada Judul Catatan,2018-03-15 11:51:26,2018-03-15 11:51:42,16.010s,PASSED
verifyElementText,,,2018-03-15 11:51:42,2018-03-15 11:51:43,1.037s,PASSED
getText,,,2018-03-15 11:51:43,2018-03-15 11:51:43,0.242s,PASSED
hideKeyboard,,Keyboard device tertutup,2018-03-15 11:51:43,2018-03-15 11:51:44,0.576s,PASSED
tap,,,2018-03-15 11:51:44,2018-03-15 11:51:45,1.114s,PASSED
delay,,,2018-03-15 11:51:45,2018-03-15 11:51:48,3.007s,PASSED
