Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Story 35,,,2018-03-14 14:48:35,2018-03-14 14:55:16,6m - 40.743s,PASSED
,,,,,,
Test Cases/Story 35 -Tambah Barang/TC 1,,Display Tambah Barang Form,2018-03-14 14:48:36,2018-03-14 14:49:22,46.909s,PASSED
comment,,,2018-03-14 14:48:36,2018-03-14 14:48:36,0.046s,PASSED
"Statement - apkPath = com.kms.katalon.core.util.internal.PathUtil.relativeToAbsolutePath(apkName, com.kms.katalon.core.configuration.RunConfiguration.getProjectDir())",,Step 1 - [Melakukan Kelola Stock],2018-03-14 14:48:36,2018-03-14 14:48:36,0.014s,PASSED
startApplication,,,2018-03-14 14:48:36,2018-03-14 14:48:58,22.103s,PASSED
tap,,"Mengklik \""Daftar Sekarang\"" untuk masuk ke halaman Home/Beranda",2018-03-14 14:48:58,2018-03-14 14:49:05,7.085s,PASSED
verifyElementExist,,,2018-03-14 14:49:05,2018-03-14 14:49:05,0.093s,PASSED
waitForElementPresent,,Menunggu hingga button sebelum Humburger button di klik,2018-03-14 14:49:05,2018-03-14 14:49:09,3.556s,PASSED
tap,,"Mengklik Hamburger Button kemdian memilih Operasional untuk masuk ke halaman Kasir, Stock, Pengeluaran dan Rincian",2018-03-14 14:49:09,2018-03-14 14:49:10,1.410s,PASSED
tap,,"Mengklik \""Operasional\"" untuk bisa direct ke screen Stock",2018-03-14 14:49:10,2018-03-14 14:49:12,1.878s,PASSED
tap,,"Mengklik \""Stok Tabbar\"" untuk bisa ke screen Stock",2018-03-14 14:49:12,2018-03-14 14:49:16,3.615s,PASSED
delay,,,2018-03-14 14:49:16,2018-03-14 14:49:21,5.044s,PASSED
tap,,,2018-03-14 14:49:21,2018-03-14 14:49:22,1.177s,PASSED
verifyElementExist,,,2018-03-14 14:49:22,2018-03-14 14:49:22,0.316s,PASSED
,,,,,,
Test Cases/Story 35 -Tambah Barang/TC 2,,Increase or decrease product stock,2018-03-14 14:49:23,2018-03-14 14:49:48,25.964s,PASSED
Statement - For (def index : (0..10)),,,2018-03-14 14:49:23,2018-03-14 14:49:40,17.124s,PASSED
Statement - For (def index : (0..5)),,,2018-03-14 14:49:40,2018-03-14 14:49:48,8.657s,PASSED
,,,,,,
Test Cases/Story 35 -Tambah Barang/TC 3,,user update stock when specifies stock = -(minus),2018-03-14 14:49:49,2018-03-14 14:50:28,39.912s,PASSED
tap,,,2018-03-14 14:49:49,2018-03-14 14:49:50,1.025s,PASSED
setText,,,2018-03-14 14:49:50,2018-03-14 14:50:09,18.763s,PASSED
clearText,,,2018-03-14 14:50:09,2018-03-14 14:50:14,5.411s,PASSED
setText,,,2018-03-14 14:50:14,2018-03-14 14:50:26,11.870s,PASSED
hideKeyboard,,,2018-03-14 14:50:26,2018-03-14 14:50:27,1.433s,PASSED
swipe,,,2018-03-14 14:50:27,2018-03-14 14:50:28,1.211s,PASSED
,,,,,,
Test Cases/Story 35 -Tambah Barang/TC 4,,Display Pick Category,2018-03-14 14:50:29,2018-03-14 14:50:40,11.931s,PASSED
delay,,,2018-03-14 14:50:29,2018-03-14 14:50:34,5.003s,PASSED
